EmpID,Title,ManagerKey,BusinessUnit,Department,Division,JobFunction,EmployeeType,Classification,PayZone,State,Gender,Ethnicity,AgeBand,AgeBandSort,TenureBand,TenureBandSort,TenureYears,Performance,Rating,StartDate,ExitDate,Status,SourceStatus,StatusCheck,LeaverReason,LeaverGroup,EarlyLeaver
1024,Shared Services Manager,M597,NEL,Software Engineering,Fielders,Coordinator,Contract,Part-Time,Zone A,MA,Female,Other,35-44,2,2-3 years,2,2.48,Fully Meets,3,2018-12-30,2021-06-23,Left,Active,Contradicts dates,Involuntary,Involuntary,No
1025,Senior BI Developer,M598,PL,Admin Offices,Field Operations,Foreman,Full-Time,Temporary,Zone A,MA,Female,Other,55+,4,Under 1 year,0,0.011,Fully Meets,3,2023-05-11,2023-05-15,Left,Active,Contradicts dates,Retirement,Retirement,Yes
1026,Senior BI Developer,M599,BPC,Admin Offices,Engineers,Engineer,Contract,Part-Time,Zone A,MA,Female,Other,55+,4,Under 1 year,0,0.268,Fully Meets,3,2022-11-03,2023-02-09,Left,Active,Contradicts dates,Resignation,Voluntary,Yes
1027,Senior BI Developer,M600,CCDR,Admin Offices,General - Con,Flagger,Part-Time,Full-Time,Zone A,MA,Male,Other,55+,4,Under 1 year,0,0.956,Fully Meets,3,2020-06-14,2021-05-29,Left,Active,Contradicts dates,Voluntary,Voluntary,Yes
1028,Software Engineer,M601,PYZ,Software Engineering,General - Con,Model Assistant,Full-Time,Part-Time,Zone C,MA,Male,Asian,Under 25,0,3-5 years,3,3.214,Fully Meets,3,2019-10-15,2023-01-01,Left,Voluntarily Terminated,Agrees with dates,Resignation,Voluntary,No
1029,Software Engineer,M602,SVG,Software Engineering,Field Operations,Specialist,Part-Time,Part-Time,Zone B,MA,Female,Asian,35-44,2,3-5 years,3,3.272,Fully Meets,3,2020-04-28,,Employed,Active,Agrees with dates,,,No
1030,Software Engineer,M603,TNS,Software Engineering,Field Operations,Foreman,Contract,Temporary,Zone C,MA,Male,Black,55+,4,3-5 years,3,3.77,Fully Meets,3,2019-10-29,,Employed,Active,Agrees with dates,,,No
1031,Software Engineer,M604,WBL,Software Engineering,General - Con,Lineman,Part-Time,Temporary,Zone B,MA,Male,White,45-54,3,2-3 years,2,2.272,Fully Meets,3,2021-04-28,,Employed,Active,Agrees with dates,,,No
1032,Software Engineer,M605,PYZ,Software Engineering,Aerial,Laborer,Full-Time,Part-Time,Zone C,MA,Male,Asian,55+,4,Under 1 year,0,0.353,Fully Meets,3,2022-04-19,2022-08-26,Left,Active,Contradicts dates,Voluntary,Voluntary,Yes
1033,Shared Services Manager,M606,WBL,Software Engineering,Field Operations,Operator,Contract,Full-Time,Zone B,MA,Male,Other,25-34,1,Under 1 year,0,0.359,Fully Meets,3,2023-03-28,,Employed,Active,Agrees with dates,,,No
1034,Shared Services Manager,M607,NEL,Software Engineering,Project Management - Con,Manager,Full-Time,Part-Time,Zone C,MA,Female,Black,45-54,3,3-5 years,3,4.252,Fully Meets,3,2019-05-06,,Employed,Active,Agrees with dates,,,No
1035,Senior BI Developer,M608,PL,Admin Offices,Underground,Laborer,Full-Time,Temporary,Zone A,MA,Female,Asian,35-44,2,2-3 years,2,2.812,Fully Meets,3,2020-10-13,,Employed,Active,Agrees with dates,,,No
1036,Senior BI Developer,M609,BPC,Admin Offices,Field Operations,Foreman,Part-Time,Part-Time,Zone A,MA,Male,Asian,25-34,1,Under 1 year,0,0.389,Fully Meets,3,2021-07-06,2021-11-25,Left,Active,Contradicts dates,Resignation,Voluntary,Yes
1037,Software Engineer,M610,CCDR,Software Engineering,Fielders,Engineer,Part-Time,Full-Time,Zone C,MA,Male,Other,25-34,1,Under 1 year,0,0.107,Fully Meets,3,2020-09-24,2020-11-02,Left,Voluntarily Terminated,Agrees with dates,Voluntary,Voluntary,Yes
1038,Software Engineer,M611,SVG,Software Engineering,Field Operations,Crew Leader,Contract,Part-Time,Zone B,MA,Male,Hispanic,45-54,3,Under 1 year,0,0.548,Fully Meets,3,2023-01-18,,Employed,Active,Agrees with dates,,,No
1039,Software Engineer,M612,EW,Software Engineering,Finance & Accounting,Administrative,Part-Time,Part-Time,Zone B,MA,Female,Other,35-44,2,2-3 years,2,2.59,Fully Meets,3,2019-08-22,2022-03-25,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,No
1040,Software Engineer,M613,MSC,Software Engineering,Field Operations,Technician,Contract,Part-Time,Zone A,MA,Male,White,45-54,3,3-5 years,3,3.398,Fully Meets,3,2019-07-25,2022-12-17,Left,Voluntarily Terminated,Agrees with dates,Retirement,Retirement,No
1041,Software Engineer,M614,TNS,Software Engineering,Engineers,Administrative,Full-Time,Full-Time,Zone A,MA,Male,White,45-54,3,Under 1 year,0,0.164,Fully Meets,3,2019-11-11,2020-01-10,Left,Voluntarily Terminated,Agrees with dates,Retirement,Retirement,Yes
1042,Software Engineer,M615,PYZ,Software Engineering,Field Operations,Driller,Contract,Temporary,Zone B,MA,Male,Black,55+,4,1-2 years,1,1.057,Fully Meets,3,2022-07-16,,Employed,Active,Agrees with dates,,,No
1043,Shared Services Manager,M616,WBL,Software Engineering,Splicing,Billing,Full-Time,Part-Time,Zone C,MA,Female,White,55+,4,Under 1 year,0,0.389,Fully Meets,3,2022-12-19,2023-05-10,Left,Active,Contradicts dates,Resignation,Voluntary,Yes
1044,Shared Services Manager,M617,NEL,Software Engineering,Field Operations,Foreman,Contract,Temporary,Zone A,MA,Female,Hispanic,55+,4,2-3 years,2,2.888,Fully Meets,3,2020-09-15,,Employed,Active,Agrees with dates,,,No
1045,Senior BI Developer,M618,PL,Admin Offices,Catv,Foreman,Full-Time,Temporary,Zone C,MA,Female,Black,55+,4,2-3 years,2,2.398,Fully Meets,3,2020-10-04,2023-02-27,Left,Active,Contradicts dates,Involuntary,Involuntary,No
1046,Software Engineer,M619,CCDR,Software Engineering,Underground,Laborer,Full-Time,Temporary,Zone A,MA,Male,White,55+,4,Under 1 year,0,0.279,Fully Meets,3,2022-04-23,2022-08-03,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,Yes
1047,Software Engineer,M620,SVG,Software Engineering,Field Operations,Technician,Contract,Part-Time,Zone A,MA,Female,Hispanic,55+,4,1-2 years,1,1.689,Fully Meets,3,2021-11-27,,Employed,Active,Agrees with dates,,,No
1048,Software Engineer,M621,EW,Software Engineering,General - Con,Helper,Part-Time,Temporary,Zone A,MA,Male,Asian,55+,4,3-5 years,3,3.685,Fully Meets,3,2019-11-29,,Employed,Active,Agrees with dates,,,No
1049,Software Engineer,M622,MSC,Software Engineering,Field Operations,Technician,Part-Time,Part-Time,Zone B,MA,Male,White,55+,4,1-2 years,1,1.558,Fully Meets,3,2019-05-30,2020-12-19,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,No
1050,Software Engineer,M623,TNS,Software Engineering,Finance & Accounting,Accounting,Contract,Temporary,Zone B,MA,Male,Black,25-34,1,2-3 years,2,2.7,Fully Meets,3,2020-11-23,,Employed,Active,Agrees with dates,,,No
1051,Software Engineer,M624,PYZ,Software Engineering,Field Operations,Operator,Full-Time,Part-Time,Zone C,MA,Male,White,35-44,2,Under 1 year,0,0.761,Fully Meets,3,2022-04-08,2023-01-11,Left,Active,Contradicts dates,Involuntary,Involuntary,Yes
1052,Shared Services Manager,M625,WBL,Software Engineering,General - Con,Foreman,Contract,Part-Time,Zone B,MA,Female,Hispanic,35-44,2,Under 1 year,0,0.271,Fully Meets,3,2021-02-25,2021-06-04,Left,Active,Contradicts dates,Voluntary,Voluntary,Yes
1053,Shared Services Manager,M626,NEL,Software Engineering,Project Management - Con,Project Manager,Contract,Full-Time,Zone C,MA,Female,Hispanic,55+,4,2-3 years,2,2.07,Fully Meets,3,2019-03-13,2021-04-07,Left,Active,Contradicts dates,Resignation,Voluntary,No
1054,Software Engineer,M625,PL,Software Engineering,Engineers,Project Manager,Part-Time,Full-Time,Zone A,MA,Male,White,25-34,1,Under 1 year,0,0.479,Fully Meets,3,2023-02-12,,Employed,Active,Agrees with dates,,,No
1055,Software Engineer,M627,PYZ,Software Engineering,Field Operations,Laborer,Contract,Full-Time,Zone C,MA,Female,White,25-34,1,3-5 years,3,4.909,Fully Meets,3,2018-09-08,,Employed,Active,Agrees with dates,,,No
1056,Software Engineer,M628,SVG,Software Engineering,Wireline Construction,Driver,Contract,Temporary,Zone C,MA,Male,Hispanic,55+,4,1-2 years,1,1.714,Fully Meets,3,2021-11-18,,Employed,Active,Agrees with dates,,,No
1057,Software Engineer,M629,TNS,Software Engineering,Wireline Construction,Foreman,Full-Time,Full-Time,Zone A,MA,Male,Asian,Under 25,0,Under 1 year,0,0.099,Fully Meets,3,2023-07-01,,Employed,Active,Agrees with dates,,,No
1058,Software Engineer,M630,WBL,Software Engineering,Billable Consultants,Technician,Contract,Temporary,Zone C,MA,Male,Hispanic,55+,4,1-2 years,1,1.3,Fully Meets,3,2022-04-18,,Employed,Active,Agrees with dates,,,No
1059,Software Engineer,M631,BPC,Software Engineering,Engineers,Engineer,Part-Time,Full-Time,Zone C,MA,Female,Asian,45-54,3,Under 1 year,0,0.271,Fully Meets,3,2023-04-29,,Employed,Active,Agrees with dates,,,No
1060,Shared Services Manager,M632,CCDR,Software Engineering,General - Con,Project Manager,Part-Time,Full-Time,Zone B,MA,Female,Black,45-54,3,Under 1 year,0,0.208,Fully Meets,3,2018-10-10,2018-12-25,Left,Active,Contradicts dates,Voluntary,Voluntary,Yes
1061,Shared Services Manager,M633,EW,Software Engineering,General - Sga,Specialist,Part-Time,Part-Time,Zone C,MA,Female,Other,25-34,1,Under 1 year,0,0.709,Fully Meets,3,2022-11-20,,Employed,Active,Agrees with dates,,,No
1062,Software Engineer,M634,BPC,Software Engineering,Engineers,Program Manager,Part-Time,Part-Time,Zone A,MA,Male,Hispanic,45-54,3,Under 1 year,0,0.66,Fully Meets,3,2019-05-18,2020-01-14,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,Yes
1063,Software Engineer,M635,CCDR,Software Engineering,Aerial,Foreman,Full-Time,Temporary,Zone B,MA,Female,Black,55+,4,2-3 years,2,2.122,Fully Meets,3,2021-06-22,,Employed,Active,Agrees with dates,,,No
1064,Software Engineer,M636,SVG,Software Engineering,Field Operations,Technician,Part-Time,Part-Time,Zone A,MA,Male,White,35-44,2,Under 1 year,0,0.038,Fully Meets,3,2022-03-30,2022-04-13,Left,Voluntarily Terminated,Agrees with dates,Retirement,Retirement,Yes
1065,Software Engineer,M637,EW,Software Engineering,Engineers,Engineer,Contract,Temporary,Zone C,MA,Male,Other,25-34,1,3-5 years,3,4.939,Fully Meets,3,2018-08-28,,Employed,Active,Agrees with dates,,,No
1066,Software Engineer,M638,MSC,Software Engineering,Catv,Operator,Full-Time,Temporary,Zone C,MA,Male,Hispanic,35-44,2,1-2 years,1,1.024,Fully Meets,3,2021-12-27,2023-01-05,Left,Active,Contradicts dates,Voluntary,Voluntary,No
1067,Software Engineer,M639,TNS,Software Engineering,Field Operations,Technician,Part-Time,Temporary,Zone A,MA,Female,White,55+,4,2-3 years,2,2.724,Fully Meets,3,2020-11-14,,Employed,Active,Agrees with dates,,,No
1068,Software Engineer,M640,PYZ,Software Engineering,Wireline Construction,Project Manager,Full-Time,Part-Time,Zone B,MA,Female,Black,Under 25,0,1-2 years,1,1.845,Fully Meets,3,2021-10-01,,Employed,Active,Agrees with dates,,,No
1069,Shared Services Manager,M641,WBL,Software Engineering,General - Con,Foreman,Full-Time,Part-Time,Zone B,MA,Female,Other,45-54,3,3-5 years,3,4.621,Fully Meets,3,2018-10-13,2023-05-28,Left,Active,Contradicts dates,Resignation,Voluntary,No
1070,Shared Services Manager,M642,NEL,Software Engineering,General - Sga,Project Manager,Full-Time,Temporary,Zone C,MA,Male,Black,Under 25,0,3-5 years,3,3.45,Fully Meets,3,2018-12-15,2022-05-28,Left,Active,Contradicts dates,Resignation,Voluntary,No
1071,Software Engineer,M643,PL,Software Engineering,Field Operations,Laborer,Contract,Part-Time,Zone A,MA,Male,Black,55+,4,1-2 years,1,1.558,Fully Meets,3,2019-03-28,2020-10-17,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,No
1072,Software Engineer,M644,BPC,Software Engineering,Field Operations,Operator,Part-Time,Part-Time,Zone C,MA,Female,Asian,45-54,3,3-5 years,3,4.608,Fully Meets,3,2018-12-27,,Employed,Active,Agrees with dates,,,No
1073,Software Engineer,M645,CCDR,Software Engineering,Field Operations,Foreman,Full-Time,Full-Time,Zone A,MA,Male,White,Under 25,0,3-5 years,3,4.238,Fully Meets,3,2019-05-11,,Employed,Active,Agrees with dates,,,No
1074,Software Engineer,M646,SVG,Software Engineering,General - Con,Laborer,Full-Time,Temporary,Zone A,MA,Male,Asian,35-44,2,2-3 years,2,2.012,Fully Meets,3,2021-02-19,2023-02-24,Left,Voluntarily Terminated,Agrees with dates,Voluntary,Voluntary,No
1075,Software Engineer,M647,EW,Software Engineering,Engineers,Engineer,Part-Time,Full-Time,Zone B,MA,Male,Asian,55+,4,Under 1 year,0,0.444,Fully Meets,3,2022-11-05,2023-04-16,Left,Active,Contradicts dates,Involuntary,Involuntary,Yes
1076,Software Engineer,M648,MSC,Software Engineering,General - Eng,Administrative,Contract,Part-Time,Zone C,MA,Female,White,55+,4,Under 1 year,0,0.52,Fully Meets,3,2020-03-22,2020-09-28,Left,Active,Contradicts dates,Retirement,Retirement,Yes
1077,Software Engineer,M649,TNS,Software Engineering,Wireless,Foreman,Contract,Temporary,Zone B,MA,Female,Black,25-34,1,3-5 years,3,4.507,Fully Meets,3,2019-02-02,,Employed,Active,Agrees with dates,,,No
1078,Software Engineer,M650,PYZ,Software Engineering,Aerial,Foreman,Contract,Temporary,Zone C,MA,Female,Asian,25-34,1,1-2 years,1,1.309,Fully Meets,3,2020-02-24,2021-06-16,Left,Active,Contradicts dates,Voluntary,Voluntary,No
1079,Shared Services Manager,M651,WBL,Software Engineering,Project Management - Eng,Manager,Part-Time,Full-Time,Zone B,MA,Female,Hispanic,Under 25,0,1-2 years,1,1.065,Fully Meets,3,2021-04-07,2022-05-01,Left,Active,Contradicts dates,Resignation,Voluntary,No
1080,Shared Services Manager,M652,NEL,Software Engineering,Fielders,Engineer,Part-Time,Full-Time,Zone C,MA,Male,Black,35-44,2,2-3 years,2,2.724,Fully Meets,3,2020-11-14,,Employed,Active,Agrees with dates,,,No
1081,Software Engineer,M653,EW,Software Engineering,General - Con,Laborer,Contract,Part-Time,Zone B,MA,Male,Asian,55+,4,Under 1 year,0,0.561,Fully Meets,3,2022-01-17,2022-08-10,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,Yes
1082,Software Engineer,M654,MSC,Software Engineering,General - Con,Technician,Part-Time,Part-Time,Zone B,MA,Male,Other,45-54,3,1-2 years,1,1.815,Fully Meets,3,2021-09-02,2023-06-27,Left,Active,Contradicts dates,Retirement,Retirement,No
1083,Software Engineer,M655,NEL,Software Engineering,Aerial,Supervisor,Part-Time,Full-Time,Zone A,MA,Female,Asian,55+,4,Under 1 year,0,0.019,Fully Meets,3,2023-07-30,,Employed,Active,Agrees with dates,,,No
1084,Software Engineer,M656,PL,Software Engineering,Executive,Administrator,Contract,Part-Time,Zone C,MA,Male,White,25-34,1,Under 1 year,0,0.11,Fully Meets,3,2023-06-27,,Employed,Active,Agrees with dates,,,No
1085,Software Engineer,M657,PYZ,Software Engineering,General - Con,Lineman,Contract,Full-Time,Zone B,MA,Male,Other,55+,4,1-2 years,1,1.361,Fully Meets,3,2022-03-27,,Employed,Active,Agrees with dates,,,No
1086,Software Engineer,M658,SVG,Software Engineering,Field Operations,Supervisor,Contract,Temporary,Zone A,MA,Female,Black,45-54,3,Under 1 year,0,0.189,Fully Meets,3,2022-08-12,2022-10-20,Left,Active,Contradicts dates,Voluntary,Voluntary,Yes
1087,Software Engineer,M659,TNS,Software Engineering,Field Operations,Tower Hand,Part-Time,Part-Time,Zone A,MA,Female,Other,45-54,3,1-2 years,1,1.073,Fully Meets,3,2022-07-08,2023-08-04,Left,Active,Contradicts dates,Voluntary,Voluntary,No
1088,Software Engineer,M660,WBL,Software Engineering,General - Con,Foreman,Contract,Part-Time,Zone B,MA,Female,White,25-34,1,Under 1 year,0,0.441,Fully Meets,3,2020-08-15,2021-01-23,Left,Active,Contradicts dates,Resignation,Voluntary,Yes
1089,Software Engineer,M661,BPC,Software Engineering,Wireline Construction,Groundman,Full-Time,Temporary,Zone A,MA,Female,Black,55+,4,Under 1 year,0,0.049,Fully Meets,3,2023-05-27,2023-06-14,Left,Active,Contradicts dates,Involuntary,Involuntary,Yes
1090,Shared Services Manager,M662,CCDR,Software Engineering,Field Operations,Technician,Part-Time,Full-Time,Zone C,MA,Female,Black,55+,4,Under 1 year,0,0.591,Fully Meets,3,2023-01-02,,Employed,Active,Agrees with dates,,,No
1091,Production Technician I,M663,PYZ,Production,General - Sga,Supervisor,Contract,Temporary,Zone B,MA,Male,Asian,35-44,2,2-3 years,2,2.379,Fully Meets,3,2018-11-16,2021-04-03,Left,Active,Contradicts dates,Involuntary,Involuntary,No
1092,Production Technician I,M664,PYZ,Production,Field Operations,Clerk,Part-Time,Full-Time,Zone C,MA,Female,Hispanic,45-54,3,1-2 years,1,1.068,Fully Meets,3,2022-07-12,,Employed,Active,Agrees with dates,,,No
1093,Production Technician I,M665,NEL,Production,Engineers,Engineer,Contract,Part-Time,Zone B,MA,Female,Asian,35-44,2,Under 1 year,0,0.638,Fully Meets,3,2022-12-16,,Employed,Active,Agrees with dates,,,No
1094,Production Technician II,M666,EW,Production,Field Operations,Foreman,Part-Time,Full-Time,Zone A,MA,Female,Other,25-34,1,Under 1 year,0,0.246,Fully Meets,3,2023-05-08,,Employed,Active,Agrees with dates,,,No
1095,Production Technician II,M667,WBL,Production,Engineers,Engineer,Full-Time,Temporary,Zone A,MA,Female,Hispanic,55+,4,Under 1 year,0,0.331,Fully Meets,3,2023-04-07,,Employed,Active,Agrees with dates,,,No
1096,Production Technician I,M668,PYZ,Production,Shop (Fleet),Mechanic,Part-Time,Part-Time,Zone C,MA,Female,Asian,45-54,3,Under 1 year,0,0.674,Fully Meets,3,2022-02-15,2022-10-19,Left,Active,Contradicts dates,Voluntary,Voluntary,Yes
1097,Production Technician I,M669,SVG,Production,Field Operations,Technician,Contract,Part-Time,Zone B,MA,Male,Hispanic,Under 25,0,Under 1 year,0,0.047,Fully Meets,3,2023-07-17,2023-08-03,Left,Active,Contradicts dates,Involuntary,Involuntary,Yes
1098,Production Technician I,M670,PL,Production,General - Eng,Engineer,Part-Time,Temporary,Zone A,MA,Male,Asian,25-34,1,3-5 years,3,4.082,Fully Meets,3,2019-05-03,2023-06-02,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,No
1099,Production Technician I,M671,SVG,Production,Field Operations,Laborer,Part-Time,Part-Time,Zone A,MA,Female,Other,45-54,3,Under 1 year,0,0.077,Fully Meets,3,2022-03-25,2022-04-22,Left,Active,Contradicts dates,Retirement,Retirement,Yes
1100,Production Technician I,M672,EW,Production,Field Operations,Laborer,Full-Time,Temporary,Zone C,MA,Male,White,55+,4,3-5 years,3,3.329,Fully Meets,3,2020-04-07,,Employed,Active,Agrees with dates,,,No
1101,Production Technician I,M673,TNS,Production,Engineers,Engineer,Full-Time,Part-Time,Zone A,MA,Female,White,55+,4,2-3 years,2,2.407,Fully Meets,3,2021-03-10,,Employed,Active,Agrees with dates,,,No
1102,Production Technician II,M674,EW,Production,General - Con,Groundman,Part-Time,Part-Time,Zone A,MA,Female,Black,55+,4,3-5 years,3,4.005,Fully Meets,3,2019-08-04,,Employed,Active,Agrees with dates,,,No
1103,Production Technician I,M675,BPC,Production,Splicing,Splicer,Full-Time,Temporary,Zone C,MA,Male,Asian,55+,4,2-3 years,2,2.125,Fully Meets,3,2021-04-11,2023-05-27,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,No
1104,Production Technician I,M676,PYZ,Production,General - Eng,Supervisor,Part-Time,Temporary,Zone C,MA,Male,Asian,25-34,1,3-5 years,3,4.14,Fully Meets,3,2019-06-16,,Employed,Active,Agrees with dates,,,No
1105,Production Technician I,M677,PL,Production,General - Con,Technician,Contract,Full-Time,Zone A,MA,Female,Hispanic,55+,4,2-3 years,2,2.155,Fully Meets,3,2020-10-08,2022-12-04,Left,Voluntarily Terminated,Agrees with dates,Voluntary,Voluntary,No
1106,Production Technician II,M678,BPC,Production,Aerial,Lineman,Full-Time,Temporary,Zone B,MA,Male,Other,25-34,1,1-2 years,1,1.966,Fully Meets,3,2021-08-18,,Employed,Active,Agrees with dates,,,No
1107,Production Technician II,M679,BPC,Production,Wireline Construction,Laborer,Contract,Part-Time,Zone A,MA,Female,Other,25-34,1,3-5 years,3,3.389,Fully Meets,3,2020-03-16,,Employed,Active,Agrees with dates,,,No
1108,Production Technician I,M680,TNS,Production,General - Con,Flagger,Full-Time,Full-Time,Zone A,MA,Male,White,45-54,3,3-5 years,3,4.531,Fully Meets,3,2019-01-24,,Employed,Active,Agrees with dates,,,No
1109,Production Technician I,M681,EW,Production,Field Operations,Laborer,Full-Time,Part-Time,Zone C,MA,Female,White,35-44,2,Under 1 year,0,0.29,Fully Meets,3,2022-06-11,2022-09-25,Left,Voluntarily Terminated,Agrees with dates,Retirement,Retirement,Yes
